Organic	Mineral	Surface
22.74	8.50	10.83
29.80	3.91	8.74
27.10	9.29	9.20
16.51	21.00	8.12
6.51	10.89	7.60
8.81	10.30	6.30
5.29	11.56	6.68
20.46	7.00	7.34
14.90	3.99	9.52
14.86	3.79	11.94
15.91	5.50	12.40
15.35	4.71	10.30
9.72	7.66	10.48
19.80	11.72	12.88
14.86	11.80	19.01
8.09	8.05	19.19
17.90	10.72	13.14
18.30	21.82	12.51
5.2	22.62	15.76
11.90	10.74	10.96
14.00	3.02	19.78
7.40	7.45	20.56
17.50	11.33	17.93
10.30	7.11	14.28
11.40	17.99	13.11
5.30	21.40	12.27
15.72	8.37	16.47
20.46	7.92	15.03
16.87	17.90	14.53
15.42	7.31	12.04
22.49	16.92	16.82
	4.60	10.70
	8.50	16.00
	4.80	20.70
	4.90	13.70
	9.10	16.12
	7.90	15.77
	11.72	6.40
	4.85	14.19
	11.97	13.89
	7.85	8.69
	9.11	10.46
	8.79	16.23
	9.60	15.43
	12.57	
	12.89	
	9.81	
